datetime,temperature real,temperature predict,humidity real,humidity predict
07/04/2021 08:12,19.0,19.1,91.0,62.53
07/04/2021 08:22,20.0,19.1,90.0,62.79
07/04/2021 08:32,20.0,19.1,89.0,63.05
07/04/2021 08:42,20.0,19.1,89.0,63.32
07/04/2021 08:53,21.0,19.1,87.0,63.61
07/04/2021 09:03,21.0,19.1,87.0,63.87
07/04/2021 09:13,21.0,19.1,85.0,64.14
07/04/2021 09:23,21.0,19.1,87.0,64.4
07/04/2021 09:33,21.0,19.09,87.0,64.67
07/04/2021 09:44,21.0,19.09,85.0,64.96
07/04/2021 09:52,21.0,20.0,84.0,68.07
07/04/2021 10:02,21.0,20.02,86.0,68.28
07/04/2021 10:12,21.0,20.04,86.0,68.49
07/04/2021 10:23,21.0,20.07,84.0,68.72
07/04/2021 10:33,21.0,20.09,84.0,68.93
07/04/2021 10:43,21.0,20.11,83.0,69.15
07/04/2021 10:53,21.0,20.74,82.0,82.09
07/04/2021 11:04,21.0,20.77,82.0,82.54
07/04/2021 11:14,21.0,20.8,86.0,82.94
07/04/2021 11:24,22.0,20.83,83.0,83.35
07/04/2021 11:34,22.0,20.86,83.0,83.75
07/04/2021 11:44,22.0,20.89,82.0,84.16
07/04/2021 11:55,22.0,22.48,81.0,97.25
07/04/2021 12:05,22.0,22.54,81.0,97.83
07/04/2021 12:15,22.0,22.59,81.0,98.42
07/04/2021 12:25,22.0,22.64,81.0,99.0
07/04/2021 12:35,22.0,22.69,81.0,99.58
07/04/2021 12:46,22.0,22.75,81.0,100.22
07/04/2021 12:56,22.0,23.81,81.0,91.95
07/04/2021 13:06,22.0,23.87,80.0,92.42
07/04/2021 13:17,23.0,23.94,75.0,92.93
07/04/2021 13:27,23.0,24.01,75.0,93.4
07/04/2021 13:37,23.0,24.07,75.0,93.87
07/04/2021 13:47,23.0,24.14,74.0,94.34
07/04/2021 13:57,23.0,22.06,74.0,64.61
07/04/2021 14:08,23.0,22.11,72.0,64.72
07/04/2021 14:18,23.0,22.15,72.0,64.84
07/04/2021 14:28,23.0,22.19,72.0,64.98
07/04/2021 14:38,23.0,22.22,72.0,65.12
07/04/2021 14:49,23.0,22.27,72.0,65.31
07/04/2021 14:59,23.0,22.44,71.0,52.28
07/04/2021 15:09,23.0,22.48,71.0,52.52
07/04/2021 15:19,24.0,22.52,69.0,52.8
07/04/2021 15:30,24.0,22.57,70.0,53.16
07/04/2021 15:40,24.0,22.61,70.0,53.52
07/04/2021 15:50,24.0,22.65,70.0,53.9
07/04/2021 16:00,23.0,25.41,72.0,58.02
07/04/2021 16:10,24.0,25.48,71.0,58.42
07/04/2021 16:21,23.0,25.55,72.0,58.86
07/04/2021 16:31,23.0,25.62,72.0,59.25
07/04/2021 16:41,23.0,25.69,73.0,59.65
07/04/2021 16:51,23.0,25.76,74.0,60.05
07/04/2021 17:01,23.0,22.32,75.0,72.28
07/04/2021 17:12,23.0,22.36,74.0,72.84
07/04/2021 17:22,23.0,22.4,75.0,73.35
07/04/2021 17:32,23.0,22.43,76.0,73.87
07/04/2021 17:42,22.0,22.47,76.0,74.38
07/04/2021 17:53,22.0,20.12,77.0,87.61
07/04/2021 18:03,22.0,20.13,78.0,88.25
07/04/2021 18:13,22.0,20.14,78.0,88.88
07/04/2021 18:23,22.0,20.16,76.0,89.51
07/04/2021 18:34,22.0,20.17,76.0,90.2
07/04/2021 18:44,22.0,20.18,77.0,90.84
07/04/2021 18:54,22.0,24.06,77.0,93.89
07/04/2021 19:04,22.0,24.1,77.0,94.54
07/04/2021 19:15,22.0,24.16,78.0,95.26
07/04/2021 19:25,22.0,24.2,77.0,95.91
07/04/2021 19:35,22.0,24.25,78.0,96.56
07/04/2021 19:45,21.0,24.3,78.0,97.22
07/04/2021 19:56,21.0,19.14,78.0,85.87
07/04/2021 20:06,21.0,19.14,79.0,86.42
07/04/2021 20:16,21.0,19.14,79.0,86.97
07/04/2021 20:26,21.0,19.15,88.0,87.52
07/04/2021 20:36,21.0,19.15,89.0,88.07
07/04/2021 20:47,21.0,19.15,90.0,88.68
07/04/2021 20:58,21.0,21.73,89.0,75.62
07/04/2021 21:08,20.0,21.75,93.0,76.08
07/04/2021 21:19,20.0,21.78,93.0,76.59
